1641F,3952,3500
1641F,3952,3500
1642A,660,800
1644A,-66,800
1644B,620,800
1646A,260,800
1647A,430,800
1648F,4389,3500
1648F,4384,3500
1650A,100,800
1651A,1,800
1651B,670,800
1652A,70,800
1654A,-151,800
1654B,630,800
1654H,4359,3500
1654H,4355,3500
1656A,420,800
1656I,4544,3500
1656I,4539,3500
1657A,230,800
1657B,260,800
1658A,420,800
1660A,-194,800
1660B,530,800
1661A,580,800
1665A,180,800
1667F,4476,3500
1667F,4472,3500
1668A,470,800
1669A,-228,800
1669B,350,800
1669C,450,800
1671A,350,800
1672A,600,800
1672I,3722,3000
1673A,180,800
1674A,340,800
1674B,340,800
1675A,140,800
1676A,-153,800
1676B,-3,800
1676C,630,800
1677F,3765,3500
1677F,3766,3500
1678A,490,800
1680A,310,800
1680B,660,800
1681A,120,800
1681B,560,800
1682A,590,800
1684A,180,800
1685E,3927,3500
1685E,3928,3500
1686A,270,800
1687F,4490,3500
1687F,4486,3500
1689A,690,800
1690A,210,800
1690C,670,800
1691A,270,800
1692A,-201,800
1692B,650,800
1692C,590,800
1694A,450,800
1696A,530,800
1696A,530,800
1696H,3746,3500
1696H,3746,3500
1696H,3746,3500
1697A,-71,800
1698A,172,800
1698A,172,800
1699A,276,800
1699A,276,800
1700A,330,800
1701A,-65,800
1701A,-65,800
1701B,680,800
1701B,680,800
1702A,75,800
1702A,75,800
1702B,581,800
1702B,581,800
1703A,-126,800
1703A,-126,800
1703B,132,800
1703B,132,800
1703C,392,800
1703C,392,800
1704A,439,800
1704A,439,800
1704G,3654,3500
1704G,3654,3500
1704G,3654,3500
1704H2,4472,3500
1704H2,4472,3500
1704H2,4472,3500
1705A,231,800
1705A,231,800
1706A,311,800
1706A,311,800
1707E,3930,3500
1707E,3930,3500
1707E,3930,3500
1707F,4465,3500
1707F,4465,3500
1707F,4465,3500
1709A,-15,800
1709A,-15,800
1711A,305,800
1711A,305,800
1712A,386,800
1712B,595,800
1713A,594,800
1714B,585,800
1714B,585,800
1714C,588,800
1714C,588,800
1715A,6,800
1716A,297,800
1716A,297,800
1716B,617,800
1716B,617,800
1717A,604,800
1718E,3926,3500
1718E,3926,3500
1718F,3686,3300
1718F,3686,3300
1719A,97,800
1720B,686,800
1721A,-19,800
1722A,227,800
1722B,110,800
1722C,682,800
1728A,68,800
1729A,20,800
1729B,583,800
1730A,161,800
1733A,492,800
1734A,200,800
1734B,629,800
1735A,310,800
1736A,304,800
1737F,3558,3300
1737F,3558,3300
1739A,115,800
1740A,100,800
1740B,681,800
1740I,4375,3500
1740I,4375,3500
1741A,213,800
1741B,493,800
1742A,-150,800
1742B,200,800
1743A,87,800
1743B,473,800
1744A,342,800
1744B,643,800
1746A,229,800
1746G,4523,3500
1746G,4523,3500
1747A,275,800
1748A,-146,800
1749A,369,800
1750A,343,800
1750B,615,800
1750H,4531,3500
1750H,4531,3500
1753F,4345,3500
1753F,4345,3500
1754A,502,800
1761F2,4461,3500
1761G,3921,3500
1770H,4524,3500
1774H,4447,3500
1777A,127,800
1778A,402,800
1779H,3626,3500
1781A,-72,800
1781H2,4083,3500
1781H2,3921,3500
1782H2,3895,3500
1786A1,297,800
1786A2,689,800
1787A,362,800
1788A,501,800
1789A,717,800
1789B,675,800
1790A,-2,800
1790B,646,800
1791A,-109,800
1791B,220,800
1791C,396,800
1792A,218,800
1793A,656,800
1794A,730,800
1795A,523,800
1796A,612,800
1797A,539,800
1798A,435,800
1799A,686,800
1800A,741,800
1801G,3964,3400
1802A,203,800
1804A,288,800
1804G,3610,3500
1804H,3954,3300
1805A,550,800
1805B,618,800
1806A,166,800
1807A,-227,800
1807B,184,800
1807C,643,800
1809A,358,800
1810A,163,800
1810B,734,800
1810H,3760,2900
1811A,500,800
1815F,3679,3500
1816A,789,800
1817F,3666,3500
1818A,663,800
1819F,4384,3500
1820A,328,800
1821A,249,800
1822A,462,800
1822B,473,800
1822C,590,800
1823A,492,800
1824E,3863,3500
1825A,69,800
1827F,4469,3500
1828A,274,800
1829A,-188,800
1829B,114,800
1829C,655,800
1830E,3897,3500
1830F,3751,3200
1831A,469,800
1832A,382,800
1833A,205,800
1833C,677,800
1834A,319,800
1835E,3777,3500
1835F,3691,3500
1836A,596,800
1837A,159,800
1838A,634,800
1839A,572,800
1840A,153,800
1841A,495,800
1842A,352,800
1842I,4452,3500
1843A,170,800
1843B,673,800
1843C,512,800
1844A,213,800
1844H,3788,3400
1845A,731,800
1846A,187,800
1846B,772,800
1847A,332,800
1849A,20,800
1850A,-235,800
1850B,149,800
1850C,192,800
1851A,323,800
1851B,592,800
1852F,4459,3500
1853A,362,800
1854F,4482,3500
1855A,195,800
1856A,339,800
1857A,-11,800
1858A,252,800
1859A,393,800
1861A,413,800
1862A,517,800
1862B,617,800
1863A,672,800
1863H,4481,3500
1863I,4481,3500
1864A,512,800
1864I,3921,3500
1867A,697,800
1868E,3828,3500
1868F,3695,3500
1870A,342,800
1870H,3617,3500
1872A,103,800
1873A,9,800
1873B,181,800
1873C,585,800
1873D,641,800
1879A,795,800
231A,700,800
467A,650,800
509A,670,800
581A,660,800
615A,660,800
627F,4121,3400
677A,490,800
705A,660,800
715E,4019,3400
734A,660,800
739D,3556,3400
750H,4264,3500
750H,4264,3500
757G,4218,3400
758A,610,800
759F,3804,3400
773F,3928,3400
785A,580,800
791A,580,800
793G,4108,3400
794G,4097,3400
799F,3348,3500
799G,3643,3500
799G,3643,3500
804F,4072,3400
806F,4054,3400
833E,4099,3400
835A,650,800
848E,4031,3400
853E,3977,3400
867A,600,800
913H,4128,3400
914H,3577,3400
917E,4025,3400
931A,700,800
935A,590,800
936E,3579,3400
946A,650,800
951G,3757,3400
954A,610,800
959A,570,800
976A,550,800
977A,530,800
996A,620,800
